Empresa,Nombre_Corto,Fecha,Anio,Trimestre,Activos,Inventarios,Pasivo_Circulante,PasivoLP,UOAD,PPE,CPP,Efectivo,GC,CBV,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Acciones
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2012,2012,4,1002569.285,28697.82,251529.949,438715.959,35351.21094,500434.272,68962.684,45487.2,31268.63672,116787.1641,198012.1094,6354.091797,404048.2813,120895.0078,162660.9063,45873.74219,15.06080645
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2013,2013,1,948969.379,29124.291,253444.412,449411.372,38656.06641,480031.848,56244.467,37046.298,27782.93945,112906.5391,192959.3906,6283.477051,379303.6875,113138.375,154303.3281,41396.78906,13.70915254
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2013,2013,2,976994.577,33460.372,297313.821,471131.444,40558.48047,486797.598,63150.926,31585.252,27936.11328,112161.4766,194800.2031,7250.570801,401066.0938,113036.9609,154241.7188,42080.24219,12.12921875
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2013,2013,3,1027993.178,36512.396,277721.967,532394.879,37795.05859,485333.905,59198.451,72226.042,30801.9668,112969.1094,194221.0938,8139.651855,468890.125,115183.4688,156426.0313,43456.92188,12.63738462
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2013,2013,4,1035158.306,36718.953,281471.413,544675.354,37154.39844,501106.951,80154.389,48163.55,31895.26563,121827.2266,204120.3281,8675.994141,464478.375,129219.0469,166965.9375,45138.71094,13.51396825
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2014,2014,1,1018222.775,33424.826,297062.509,510336.973,38720.92188,496940.335,69362.428,40685.677,25024.27734,114699.4141,195438.8281,8297.983398,431795.375,129262.0547,156717.9063,42018.49219,13.05360656
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2014,2014,2,1066754.808,30742.322,317104.616,535488.651,39210.94531,500827.26,72050.595,94126.626,24087.76367,119728.8516,202634.8281,9981.822266,454983.9375,127491.4531,163423.875,43695.02344,12.36403226
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2014,2014,3,1180682.454,34122.732,331956.671,641019.54,37638.25391,565354.11,76055.878,95716.786,31061.73828,129125.8672,220883.9844,10953.49609,535722.3125,129666.2031,183245.7344,54119.86719,14.97215385
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2014,2014,4,1256307.003,35930.282,359901.441,671761.575,33630.875,605407.611,96495.105,72638.21,48380.86328,141722.5938,229304.1875,10365.94043,549750.0625,139168.4688,195673.3125,53950.71875,15.37
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2015,2015,1,1218879.987,33568.072,386830.711,621854.355,37714.09375,558619.904,77610.438,56208.878,24009.13281,131741.2656,220036,8994.87793,501745.8125,140004.7969,182321.9063,50580.64063,15.26557377
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2015,2015,2,1289552.469,34139.447,406101.242,702265.695,36345.54688,577814.784,78889.285,118609.986,27133.35742,132628.1094,219999.2188,8481.444336,585179.0625,145751.4375,183653.6719,51025.5625,15.36419355
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2015,2015,3,1295039.938,34593.453,423138.424,719049.411,35167.95313,558722.383,81440.167,124923.262,42829.9375,135829.5469,223603.9688,9582.548828,599424.375,149952.0156,188436.0156,52606.46875,14.66461538
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2015,2015,4,1296486.813,35577.472,415706.521,719926.106,32226.66797,573528.878,99983.728,101507.501,42324.25,143598.3125,230577.4375,4141.415039,573815.1875,156086.75,198350.7656,54752.45313,13.08761905
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2016,2016,1,1320076.145,35790.162,381991.423,752510.589,28042.26172,589167.552,95503.293,35929.355,21875.43945,142194.5469,222985.0938,7934.850098,597634.125,140096,194942.8281,52748.28125,12.415
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2016,2016,2,1438775.361,36823.99,451182.856,769756.363,25758.24414,646935.859,101949.081,46909.47,30630.02148,151795.7031,233382.6719,8154.314941,608577.875,164076.5625,207624.4219,55828.71875,12.08492308
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2016,2016,3,1466393.527,40354.655,436955.201,793173.759,30057.55273,663037.216,106715.772,18339.584,34811.49609,160473.0313,249710.0469,8880.535156,626060.875,154016.0938,219652.5,59179.46875,11.16307692
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2016,2016,4,1515897.614,36871.292,473206.658,771667.189,25752.25195,701190.066,132796.101,23218.383,54498.93359,179123.2031,269334.6563,8892.311523,625194,164935.7969,243582.4063,64459.20313,12.01129032
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,1Q2017,2017,1,1411479.326,29719.919,411521.905,727467.499,30363.37695,654493.838,85619.44,11950.456,27694.83008,169047.4844,264157.125,7935.742188,577056.0625,151522.8281,233793.75,64746.26563,13.20761905
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,2Q2017,2017,2,1351487.743,33060.477,408133.148,707622.681,31162.09375,615502.881,89502.371,20897.722,21450.49023,157461.7656,249429.0625,7405.088867,563605.5,146934.5781,218266.9688,60805.20313,14.37467742
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,3Q2017,2017,3,1395337.341,37076.963,404612.18,741163.361,10057.58496,623118.555,89163.916,25464.786,28337.04688,157014.5938,244188.7031,7414.587891,593662.375,151442.2813,234131.125,77116.53125,15.95692308
"AMERICA MOVIL, S.A.B. DE C.V.",AMERICA MOVIL,4Q2017,2017,4,1486211.852,38809.565,413336.497,812241.838,28560.24805,676343.198,106483.849,24270.473,41996.25781,172986.8594,263858.625,7545.361816,646139.0625,154167.1875,235298.375,62311.51563,16.60704918
AXTEL S.A.B DE C.V.,AXTEL,1Q2010,2010,1,22096.764,162.389,3737.034,10034.421,-30.36199951,15188.156,2110.13,1433.338,676.5130005,693.2260132,2466.711914,202.2140045,10034.4209,2611.508057,2497.073975,1803.8479,11.43393443
AXTEL S.A.B DE C.V.,AXTEL,2Q2010,2010,2,22454.023,155.441,4238.996,10085.571,173.3769989,15336.075,2507.247,1152.962,851.7810059,749.0949707,2762.206055,251.2669983,10085.57129,3065.197998,2588.829102,1839.734131,8.214761905
AXTEL S.A.B DE C.V.,AXTEL,3Q2010,2010,3,22565.217,160.28,4599.139,9916.702,67.5719986,15597.574,2931.957,1182.271,1000.054016,741.0770264,2699.679932,246.6360016,9916.702148,2903.817139,2632.10791,1891.030884,7.6525
AXTEL S.A.B DE C.V.,AXTEL,4Q2010,2010,4,22408.58,165.629,4737.194,9772.835,30.19599915,15698.182,2668.135,1308.264,832.8720093,772.0900269,2723.363037,233.2299957,9772.834961,2642.21582,2693.166992,1921.076904,7.42484375
